originals	errors
1264	fahaloho; fahaloho èkiedjaie(j)oe	f a h a l o h o ; ⁇ f a h a l o h o ⁇ è k ie dj a ie ( j ) oe
1280	pĕkahadè; pakahalè; pĕkahalè	p ĕ k a h a d è ; ⁇ p a k a h a l è ; ⁇ p ĕ k a h a l è
1297	kèo pakoenaq aèkietaieboe	k è o ⁇ p a k oe n a q ⁇ a è k ie t a ie b oe
1309	fanako; pĕnĕko; fĕnĕko	f a n a k o ; ⁇ p ĕ n ĕ k o ; ⁇ f ĕ n ĕ k o
1311	kè(j)abaq fanakonĕ	k è ( j ) a b a q ⁇ f a n a k o n ĕ
1341	pèè; aboepè	p è è ; ⁇ a b oe p è
1346	pĕnjako; fènjako; fĕnjako	p ĕ nj a k o ; ⁇ f è nj a k o ; ⁇ f ĕ nj a k o
1360	poepoeroe; foefoeroe	p oe p oe r oe ; ⁇ f oe f oe r oe
1362	poelieho; foeliehĕ	p oe l ie h o ; ⁇ f oe l ie h ĕ
1375	aroe(w)a; adoe(w)ĕ	a r oe ( w ) a ; ⁇ a d oe ( w ) ĕ
1378	arieba; aliebĕ	a r ie b a ; ⁇ a l ie b ĕ
1383	a(o)fa hie a(o)fa	a ( o ) f a ⁇ h ie ⁇ a ( o ) f a
1386	kiefa(a)oeq hie (è)kaèq	k ie f a ( a ) oe q ⁇ h ie ⁇ ( è ) k a è q
1387	kiefa(a)oeq hie adoe(w)a	k ie f a ( a ) oe q ⁇ h ie ⁇ a d oe ( w ) a
1388	kiefa(a)oeq hie aroe(w)a	k ie f a ( a ) oe q ⁇ h ie ⁇ a r oe ( w ) a
1389	kiefa(a)oeq hie adoe(w)ĕ	k ie f a ( a ) oe q ⁇ h ie ⁇ a d oe ( w ) ĕ
1390	(è)kaèq taka	( è ) k a è q ⁇ t a k a
1391	(è)kaèq taka hie (è)kaèq	( è ) k a è q ⁇ t a k a ⁇ h ie ⁇ ( è ) k a è q
1392	(è)kaeq taka hie kiefa(a)oeq	( è ) k a e q ⁇ t a k a ⁇ h ie ⁇ k ie f a ( a ) oe q
1393	(è)kaèq taka hie kiefa(a)oeq, hie (è)kaèq	( è ) k a è q ⁇ t a k a ⁇ h ie ⁇ k ie f a ( a ) oe q , ⁇ h ie ⁇ ( è ) k a è q
1397	adoe(w)a taka hie (è)kaèq	a d oe ( w ) a ⁇ t a k a ⁇ h ie ⁇ ( è ) k a è q
1398	aroe(w)a taka hie (è)kaèq	a r oe ( w ) a ⁇ t a k a ⁇ h ie ⁇ ( è ) k a è q
1399	adoe(w)ĕ taka hie (è)kaèq	a d oe ( w ) ĕ ⁇ t a k a ⁇ h ie ⁇ ( è ) k a è q
1400	adoe(w)a taka hie kiefa(a)oeq	a d oe ( w ) a ⁇ t a k a ⁇ h ie ⁇ k ie f a ( a ) oe q
1401	aroe(w)a taka hie kiefa(a)oeq	a r oe ( w ) a ⁇ t a k a ⁇ h ie ⁇ k ie f a ( a ) oe q
1402	adoe(w)ĕ taka hie kiefa(a)oeq	a d oe ( w ) ĕ ⁇ t a k a ⁇ h ie ⁇ k ie f a ( a ) oe q
1404	akoloe taka hie kiefa(a)oeq	a k o l oe ⁇ t a k a ⁇ h ie ⁇ k ie f a ( a ) oe q
1407	a(o)pa taka hie kiefa(a)oeq	a ( o ) p a ⁇ t a k a ⁇ h ie ⁇ k ie f a ( a ) oe q
1408	a(o)fa taka hie kiefa(a)oeq	a ( o ) f a ⁇ t a k a ⁇ h ie ⁇ k ie f a ( a ) oe q
1414	(è)kaèq koedoroka	( è ) k a è q ⁇ k oe d o r o k a
