originals	errors
1	aääoe	a ä ⁇ oe
771	kaäämie	k a ä ⁇ m ie
772	kaä(ä)oe(w)a	k a ä ( ⁇ ) oe ( w ) a
1073	kieoöäaq	k ie o ö ⁇ a q
