Left	Grapheme	Right	Class	Replacement
	 			 
	(			(
	)			)
	,			,
	:			:
	;			;
	?			?
	a			a
	à			à
	ä			ä
	b			b
	d			d
	e			e
	è			è
	ĕ			ĕ
	f			f
	h			h
	i			i
	j			j
	k			k
	l			l
	m			m
	n			n
	o			o
	ö			ö
	p			p
	q			q
	r			r
	t			t
	u			u
	w			w
