Left	Grapheme	Right	Class	Replacement
	 			 
	(			(
	)			)
	;			;
	a			a
	b			b
	d			d
	e			e
	é			é
	è			è
	ĕ			ĕ
	h			h
	i			i
	j			j
	k			k
	l			l
	m			m
	n			n
	o			o
	ö			ö
	p			p
	q			q
	r			r
	t			t
	u			u
	w			w
