originals	tokenized	transliterated
èafoe èkoe(w)ĕ	è a f oe # è k oe ( w ) ĕ	E a f u # E k u ( w ) ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èmanè	è m a n è	E m a n E
NA	NA	NA
(oe)kiaroboe	( oe ) k i a r o b oe	( u ) k i a r o b u
NA	NA	NA
NA	NA	NA
afĕ	a f ĕ	a f ė
kaära	k a ä r a	k a ' a r a
NA	NA	NA
èaraä(q)ko(w)ah	è a r a ä ( q ) k o ( w ) a h	E a r a ' a ( ' ) k o ( w ) a h
NA	NA	NA
NA	NA	NA
NA	NA	NA
èalopa	è a l o p a	E a l o p a
NA	NA	NA
èatara	è a t a r a	E a t a r a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èbaka: èoewĕ	è b a k a : # è oe w ĕ	E b a k a : # E u w ė
NA	NA	NA
kietaie	k ie t a ie	k i t a i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èboeèparaqwĕ	è b oe è p a r a q w ĕ	E b u E p a r a ' w ė
NA	NA	NA
èboqaboqĕ	è b o q a b o q ĕ	E b o ' a b o ' ė
èlaba	è l a b a	E l a b a
ètaboeho; ètafoehĕ	è t a b oe h o ; # è t a f oe h ĕ	E t a b u h o ; # E t a f u h ė
ètaboeho; ètafoehĕ	è t a b oe h o ; # è t a f oe h ĕ	E t a b u h o ; # E t a f u h ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkietaie	è k ie t a ie	E k i t a i
èoeloe	è oe l oe	E u l u
NA	NA	NA
NA	NA	NA
èoeloe	è oe l oe	E u l u
èlahajo	è l a h a j o	E l a h a j o
èlahèboeäo	è l a h è b oe ä o	E l a h E b u ' a o
NA	NA	NA
èlèabĕ	è l è a b ĕ	E l E a b ė
èdiehaoe	è d ie h a oe	E d i h a u
NA	NA	NA
èrieho	è r ie h o	E r i h o
èdèja	è d è j a	E d E j a
èlie(j)ĕ	è l ie ( j ) ĕ	E l i ( j ) ė
èlieie(j)ĕ	è l ie ie ( j ) ĕ	E l i i ( j ) ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èloboe	è l o b oe	E l o b u
èloboe kanapoe(w)a	è l o b oe # k a n a p oe ( w ) a	E l o b u # k a n a p u ( w ) a
èdorie	è d o r ie	E d o r i
èroehoekie(j)aq	è r oe h oe k ie ( j ) a q	E r u h u k i ( j ) a '
ènohaie	è n o h a ie	E n o h a i
èdĕhoie; èdjĕhoie	è d ĕ h o ie ; # è dj ĕ h o ie	E d ė h o i ; # E j ė h o i
kiedĕhoie; kiedjĕhoie	k ie d ĕ h o ie ; # k ie dj ĕ h o ie	k i d ė h o i ; # k i j ė h o i
èlolèlolè	è l o l è l o l è	E l o l E l o l E
NA	NA	NA
NA	NA	NA
iedopo; ètofo; ietofo	ie d o p o ; # è t o f o ; # ie t o f o	i d o p o ; # E t o f o ; # i t o f o
èroforofo	è r o f o r o f o	E r o f o r o f o
